timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,altitude,activity,delta_time,accelX_rate_of_change,accelY_rate_of_change,accelZ_rate_of_change,gyroX_rate_of_change,gyroY_rate_of_change,gyroZ_rate_of_change,altitude_rate_of_change
228665,-0.02,-0.02,-0.02,-24.76,-25.08,-25.44,211.15,Stairs,2509.0,-9.565563969709048e-05,-9.565563969709048e-05,-9.166998804304504e-05,-0.0375807094459944,-0.0377879633320047,-0.0380430450378636,9.964129135113592e-05
231174,0.0,-0.0,-0.0,-2.26,-1.85,-1.4,211.52,Stairs,2509.0,7.971303308090873e-06,7.971303308090873e-06,7.971303308090873e-06,0.0089677162216022,0.0092586687923475,0.0095815065763252,0.0001474691111996
233683,-0.03,-0.03,-0.03,-1.71,-2.04,-2.27,212.1,Stairs,2509.0,-1.1956954962136309e-05,-1.1956954962136309e-05,-1.1956954962136309e-05,0.0002192108409724,-7.572738142686327e-05,-0.0003467516939019,0.0002311677959346
236192,-0.02,-0.02,-0.02,-40.64,-41.02,-41.15,212.55,Stairs,2509.0,3.985651654045436e-06,3.985651654045436e-06,3.985651654045436e-06,-0.0155161418891988,-0.0155360701474691,-0.0154962136309286,0.000179354324432
238701,-0.1,-0.1,-0.1,-12.3,-12.7,-13.15,213.18,Stairs,2509.0,-3.188521323236349e-05,-3.188521323236349e-05,-3.188521323236349e-05,0.0112953367875647,0.0112873654842566,0.0111598246313272,0.0002510960542048
243719,0.06,0.06,0.06,1.89,2.37,2.92,213.83,Stairs,5018.0,3.188521323236349e-05,3.188521323236349e-05,3.188521323236349e-05,0.0028278198485452,0.0030031885213232,0.0032024711040255,0.0001295336787564
246228,-0.0,-0.0,-0.0,-75.98,-75.65,-75.35,213.9,Stairs,2509.0,-2.3913909924272617e-05,-2.3913909924272617e-05,-2.3913909924272617e-05,-0.0310362694300518,-0.0310960542048625,-0.0311956954962136,2.7899561578315336e-05
248737,-0.08,-0.07,-0.07,26.4,26.53,26.67,213.7,Stairs,2509.0,-3.188521323236349e-05,-2.7899561578318056e-05,-2.7899561578318056e-05,0.0408051016341171,0.0407253886010362,0.0406616181745715,-7.971303308091553e-05
256264,-0.17,-0.18,-0.18,72.27,71.15,70.12,212.0,Stairs,2509.0,-5.978477481068155e-05,-6.377042646472698e-05,-6.377042646472698e-05,0.0384734954165006,0.0381466719808688,0.0378676763650856,-0.0002829812674372
258773,-0.12,-0.13,-0.12,-45.87,-45.63,-45.41,211.33,Stairs,2509.0,1.992825827022719e-05,1.992825827022718e-05,2.3913909924272617e-05,-0.0470864886408927,-0.0465444400159426,-0.0460462335591869,-0.000267038660821
261282,0.02,0.02,0.02,4.33,4.21,4.05,210.89,Stairs,2509.0,5.5799123156636106e-05,5.9784774810681545e-05,5.5799123156636106e-05,0.020007971303308,0.0198644878437624,0.0197130330809087,-0.000175368672778
263791,-0.12,-0.12,-0.12,-14.76,-14.63,-14.53,210.79,Stairs,2509.0,-5.5799123156636106e-05,-5.5799123156636106e-05,-5.5799123156636106e-05,-0.0076086090075727,-0.0075089677162216,-0.0074053407732164,-3.98565165404521e-05
