timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,altitude,activity,delta_time,accelX_rate_of_change,accelY_rate_of_change,accelZ_rate_of_change,gyroX_rate_of_change,gyroY_rate_of_change,gyroZ_rate_of_change,altitude_rate_of_change
334042,-0.19,-0.2,-0.2,44.37,44.14,43.92,213.11,Stairs,2509.0,-1.1956954962136309e-05,-1.594260661618175e-05,-1.594260661618175e-05,0.030550019928258274,0.030310880829015542,0.030071741729772818,-0.00012754085292945126
336551,-0.14,-0.14,-0.14,-40.81,-40.22,-39.54,212.68,Stairs,2509.0,1.992825827022718e-05,2.3913909924272617e-05,2.3913909924272617e-05,-0.03394978078915903,-0.0336229573535273,-0.03326424870466321,-0.00017138302112395647
339060,-0.03,-0.03,-0.03,-20.69,-20.84,-21.02,212.14,Stairs,2509.0,4.384216819449981e-05,4.384216819449981e-05,4.384216819449981e-05,0.008019131127939418,0.007724192905540056,0.007381426863292148,-0.00021522518931846172
341569,-0.22,-0.22,-0.22,-65.29,-65.6,-65.84,211.6,Stairs,2509.0,-7.57273814268633e-05,-7.57273814268633e-05,-7.57273814268633e-05,-0.01777600637704265,-0.01783977680350737,-0.01786369071343165,-0.0002152251893184504
344078,-0.16,-0.15,-0.15,90.62,89.87,89.21,211.0,Stairs,2509.0,2.3913909924272617e-05,2.7899561578318056e-05,2.7899561578318056e-05,0.06214029493822241,0.0619649262654444,0.06179752889597449,-0.00023913909924272393
346587,-0.09,-0.09,-0.09,-27.41,-27.7,-27.89,210.67,Stairs,2509.0,2.7899561578318056e-05,2.3913909924272617e-05,2.3913909924272617e-05,-0.047042646472698284,-0.0468593064966122,-0.04667198086887206,-0.00013152650458350437
349096,-0.08,-0.08,-0.08,83.81,83.64,83.44,210.67,Stairs,2509.0,3.985651654045435e-06,3.985651654045435e-06,3.985651654045435e-06,0.044328417696293344,0.04437624551614189,0.04437225986448784,0.0
351605,-0.09,-0.09,-0.09,-69.19,-69.12,-69.21,210.74,Stairs,2509.0,-3.985651654045435e-06,-3.985651654045435e-06,-3.985651654045435e-06,-0.06098047030689518,-0.060884814667198084,-0.060840972499003575,2.7899561578326666e-05
354114,-0.08,-0.08,-0.08,87.4,88.4,89.31,210.95,Stairs,2509.0,3.985651654045435e-06,3.985651654045435e-06,3.985651654045435e-06,0.06241131925069749,0.06278198485452371,0.06318055001992826,8.369868473494601e-05
356623,-0.04,-0.04,-0.04,0.05,-0.25,-0.35,211.27,Stairs,2509.0,1.5942606616181746e-05,1.5942606616181746e-05,1.5942606616181746e-05,-0.03481466719808689,-0.0353328019131128,-0.03573535273017138,0.0001275408529294626
